"","kingdom","phylum","order","family","genus"
"ASV7784","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Lactobacillaceae spc"
"ASV77868","Bacteria","Firmicutes","Firmicutes spc","Firmicutes spc","Firmicutes spc"
"ASV779","Bacteria","Bacteroidetes","Bacteroidales","Dysgonomonadaceae","Dysgonomonas"
"ASV78","Bacteria","Proteobacteria","Rhizobiales","Bartonellaceae","Bartonella"
"ASV780","Bacteria","Firmicutes","Lactobacillales","Enterococcaceae","Enterococcus"
"ASV78068","Bacteria","Proteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacteraceae spc"
"ASV78074","Bacteria","Firmicutes","Firmicutes spc","Firmicutes spc","Firmicutes spc"
"ASV78079","Bacteria","Proteobacteria","Rhodospirillales","Acetobacteraceae","Commensalibacter"
"ASV78090","Bacteria","Proteobacteria","Proteobacteria spc","Proteobacteria spc","Proteobacteria spc"
"ASV78094","Bacteria","Proteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ASV781","Bacteria","Proteobacteria","Oceanospirillales","Halomonadaceae","Candidatus-Portiera"
"ASV78108","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Lactobacillus"
"ASV78118","Bacteria","Firmicutes","Clostridiales","Clostridiaceae","Clostridium"
"ASV78126","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Lactobacillus"
"ASV7816","Bacteria","Firmicutes","Selenomonadales","Selenomonadaceae","Selenomonadaceae spc"
"ASV78161","Bacteria","Proteobacteria","Orbales","Orbaceae","Orbaceae spc"
"ASV782","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Leuconostoc"
"ASV78308","Bacteria","Firmicutes","Lactobacillales","Streptococcaceae","Lactococcus"
"ASV78312","Bacteria","Firmicutes","Lactobacillales","Streptococcaceae","Lactococcus"
"ASV78320","Bacteria","Proteobacteria","Proteobacteria spc","Proteobacteria spc","Proteobacteria spc"
"ASV78368","Bacteria","Proteobacteria","Enterobacterales","Enterobacterales spc","Enterobacterales spc"
"ASV78381","Bacteria","Firmicutes","Selenomonadales","Selenomonadaceae","Selenomonadaceae spc"
"ASV78389","Bacteria","Firmicutes","Lactobacillales","Lactobacillales spc","Lactobacillales spc"
"ASV78392","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Lactiplantibacillus"
"ASV78395","Bacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"ASV78402","Bacteria","Proteobacteria","Oceanospirillales","Halomonadaceae","Halomonadaceae spc"
"ASV78444","Bacteria","Firmicutes","Firmicutes spc","Firmicutes spc","Firmicutes spc"
"ASV78450","Bacteria","Firmicutes","Lactobacillales","Lactobacillales spc","Lactobacillales spc"
"ASV789","Bacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"ASV79013","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Lactobacillaceae spc"
"ASV79022","Bacteria","Proteobacteria","Neisseriales","Neisseriaceae","Snodgrassella"
"ASV79023","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Lactobacillus"
"ASV79032","Bacteria","Proteobacteria","Oceanospirillales","Halomonadaceae","Halomonadaceae spc"
"ASV7905","Bacteria","Proteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas"
"ASV79051","Bacteria","Firmicutes","Firmicutes spc","Firmicutes spc","Firmicutes spc"
"ASV79052","Bacteria","Firmicutes","Firmicutes spc","Firmicutes spc","Firmicutes spc"
"ASV79058","Bacteria","Proteobacteria","Oceanospirillales","Halomonadaceae","Halomonadaceae spc"
"ASV7908","Bacteria","Proteobacteria","Rhodospirillales","Acetobacteraceae","Commensalibacter"
"ASV79169","Bacteria","Firmicutes","Lactobacillales","Streptococcaceae","Lactococcus"
"ASV79171","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Lactobacillus"
"ASV79174","Bacteria","Proteobacteria","Rhodospirillales","Acetobacteraceae","Bombella"
"ASV79185","Bacteria","Tenericutes","Entomoplasmatales","Spiroplasmataceae","Spiroplasma"
"ASV792","Bacteria","Proteobacteria","Orbales","Orbaceae","Gilliamella"
"ASV79392","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Leuconostoc"
"ASV794","Bacteria","Proteobacteria","Rhodospirillales","Acetobacteraceae","Commensalibacter"
"ASV795","Bacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"ASV796","Bacteria","Proteobacteria","Rhizobiales","Rhizobiaceae","Agrobacterium"
"ASV79618","Bacteria","Firmicutes","Clostridiales","Clostridiaceae","Clostridium"
"ASV797","Bacteria","Proteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium"
"ASV7973","Bacteria","Proteobacteria","Rhodospirillales","Acetobacteraceae","Saccharibacter"
"ASV798","Bacteria","Bacteroidetes","Bacteroidales","Prevotellaceae","Prevotellaceae spc"
