"","project","name_old","study","no","chip","well","plate","sampleID","type","subtype","controltype","collector","host_order","host_family","host_subfamily","host_tribe","host_genus","group_tree","host_species","sex","location","sublocation","country","weight","date","year","month","day","month_day","kw","BOLD_ID","note","plot_ID","elevation","temp_week","latitude","longitude","state.province","region","sector","habitat","sample_day","CFU_Caput","CFU_Thorax","CFU_Abdomen","logCFU","tissue","CFUamount","storage","description","tag","genus_tag","group","treatment","PCR","Accession","Tax.ID","BioProject","time","exact_site","trap","bc_family","bc_genus","bc_species","combined_genus","genus_tree","group_tree.1","sample_id","is.neg","is.pos"
"A4.23.20221126.01203_S247","16S_AW_Butterfly_Peru_bees","A4_23_20221126_01203","Bees",NA,"A4_bees_4","F3",13,"1203","sample","Bees","","Andrea","Hymenoptera","Apidae","Apinae","Meliponini","Plebeia","Plebeia","","","Madre de Dios","Los Amigos Biological field station","Peru","","20221126",NA,NA,NA,NA,NA,"","","23",230,23.81623777,"-12.570795 S","-70.09245 W","Madre de Dios","","Manu"," mature forest, closed canopy, big trees",NA,NA,NA,NA,NA,"","","","","","","Meliponini","","","",NA,"",9000,"Los Amigos Biological field station","netting","Apidae","Plebeia","Plebeia_BOL01","Plebeia","Plebeia","Plebeia","A4_23_20221126_01203",FALSE,FALSE
"A4.23.20221126.01204_S248","16S_AW_Butterfly_Peru_bees","A4_23_20221126_01204","Bees",NA,"A4_bees_4","F4",13,"1204","sample","Bees","","Andrea","Hymenoptera","Apidae","Apinae","Meliponini","Plebeia","Plebeia","","","Madre de Dios","Los Amigos Biological field station","Peru","","20221126",NA,NA,NA,NA,NA,"","","23",230,23.81623777,"-12.570795 S","-70.09245 W","Madre de Dios","","Manu"," mature forest, closed canopy, big trees",NA,NA,NA,NA,NA,"","","","","","","Meliponini","","","",NA,"",9000,"Los Amigos Biological field station","netting","Apidae","Plebeia","Plebeia_BOL01","Plebeia","Plebeia","Plebeia","A4_23_20221126_01204",FALSE,FALSE
"A4.23.20221126.01205_S250","16S_AW_Butterfly_Peru_bees","A4_23_20221126_01205","Bees",NA,"A4_bees_4","F5",13,"1205","sample","Bees","","Andrea","Hymenoptera","Apidae","Apinae","Meliponini","Plebeia","Plebeia","","","Madre de Dios","Los Amigos Biological field station","Peru","","20221126",NA,NA,NA,NA,NA,"","","23",230,23.81623777,"-12.570795 S","-70.09245 W","Madre de Dios","","Manu"," mature forest, closed canopy, big trees",NA,NA,NA,NA,NA,"","","","","","","Meliponini","","","",NA,"",9000,"Los Amigos Biological field station","netting","Apidae","Plebeia","Plebeia_BOL01","Plebeia","Plebeia","Plebeia","A4_23_20221126_01205",FALSE,FALSE
"A4.23.20221126.01209_S254","16S_AW_Butterfly_Peru_bees","A4_23_20221126_01209","Bees",NA,"A4_bees_4","F9",13,"1209","sample","Bees","","Andrea","Hymenoptera","Apidae","Apinae","Meliponini","Ptilotrigona","Ptilotrigona","","","Madre de Dios","Los Amigos Biological field station","Peru","","20221126",NA,NA,NA,NA,NA,"","","23",230,23.81623777,"-12.570795 S","-70.09245 W","Madre de Dios","","Manu"," mature forest, closed canopy, big trees",NA,NA,NA,NA,NA,"","","","","","","Meliponini","","","",NA,"",9000,"Los Amigos Biological field station","netting","Apidae","Ptilotrigona","","Ptilotrigona","Ptilotrigona","Ptilotrigona","A4_23_20221126_01209",FALSE,FALSE
"A4.23.20221126.01210_S255","16S_AW_Butterfly_Peru_bees","A4_23_20221126_01210","Bees",NA,"A4_bees_4","F10",13,"1210","sample","Bees","","Andrea","Hymenoptera","Apidae","Apinae","Meliponini","Trigona","Trigona","","","Madre de Dios","Los Amigos Biological field station","Peru","","20221126",NA,NA,NA,NA,NA,"","","23",230,23.81623777,"-12.570795 S","-70.09245 W","Madre de Dios","","Manu"," mature forest, closed canopy, big trees",NA,NA,NA,NA,NA,"","","","","","","Meliponini","","","",NA,"",9000,"Los Amigos Biological field station","netting","Apidae","Frieseomelitta","Frieseomelitta_flavicornis","Frieseomelitta","Trigona","Trigona","A4_23_20221126_01210",FALSE,FALSE
"A4.23.20221126.01211_S257","16S_AW_Butterfly_Peru_bees","A4_23_20221126_01211","Bees",NA,"A4_bees_4","F11",13,"1211","sample","Bees","","Andrea","Hymenoptera","Halictidae","Halictinae","Halictinae","Halictinae","Halictidae_diurnal","","","Madre de Dios","Los Amigos Biological field station","Peru","","20221126",NA,NA,NA,NA,NA,"","","23",230,23.81623777,"-12.570795 S","-70.09245 W","Madre de Dios","","Manu"," mature forest, closed canopy, big trees",NA,NA,NA,NA,NA,"","","","","","","Halictidae_diurnal","","","",NA,"",9000,"Los Amigos Biological field station","netting",NA,NA,NA,NA,"Halictidae_diurnal","Halictidae_diurnal","A4_23_20221126_01211",FALSE,FALSE
"A4.25.20221124.01340_S372","16S_AW_Butterfly_Peru_bees","A4_25_20221124_01340","Bees",NA,"A4_bees_4","A10",15,"1340","sample","Bees","","Andrea","Hymenoptera","Apidae","Apinae","Meliponini","Scaptotrigona","Scaptotrigona","","","Madre de Dios","Los Amigos Biological field station","Peru","","20221124",NA,NA,NA,NA,NA,"","","25",250,23.85607989,"-12.55099 S","-70.09736 W","Madre de Dios","","Manu"," mature forest, closed canopy, big trees",NA,NA,NA,NA,NA,"","","","","","","Meliponini","","","",NA,"",1400,"Los Amigos Biological field station","pitfull","Apidae","Scaptotrigona","Scaptotrigona_postica","Scaptotrigona","Scaptotrigona postica","Scaptotrigona","A4_25_20221124_01340",FALSE,FALSE
"A4.25.20221125.01065_S131","16S_AW_Butterfly_Peru_bees","A4_25_20221125_01065","Bees",NA,"A4_bees_3","B8",12,"1065","sample","Bees","","Andrea","Hymenoptera","Apidae","Apinae","Euglossini","Eulaema","Eulaema","bombiformis","","Madre de Dios","Los Amigos Biological field station","Peru","","20221125",NA,NA,NA,NA,NA,"","","25",250,23.85607989,"-12.55099 S","-70.09736 W","Madre de Dios","","Manu"," mature forest, closed canopy, big trees",NA,NA,NA,NA,NA,"","","","","","","Euglossini","","","",NA,"",8000,"Los Amigos Biological field station","netting","Apidae","Eulaema","Eulaema_atleticana","Eulaema","Eulaema","Eulaema","A4_25_20221125_01065",FALSE,FALSE
"A4.25.20221125.01066_S132","16S_AW_Butterfly_Peru_bees","A4_25_20221125_01066","Bees",NA,"A4_bees_3","B9",12,"1066","sample","Bees","","Andrea","Hymenoptera","Apidae","Apinae","Euglossini","Euglossa","Euglossa","","","Madre de Dios","Los Amigos Biological field station","Peru","","20221125",NA,NA,NA,NA,NA,"","","25",250,23.85607989,"-12.55099 S","-70.09736 W","Madre de Dios","","Manu"," mature forest, closed canopy, big trees",NA,NA,NA,NA,NA,"","","","","","","Euglossini","","","",NA,"",8000,"Los Amigos Biological field station","netting","Apidae","Euglossa","Euglossa_cognata","Euglossa","Euglossa","Euglossa","A4_25_20221125_01066",FALSE,FALSE
"A4.25.20221125.01067_S133","16S_AW_Butterfly_Peru_bees","A4_25_20221125_01067","Bees",NA,"A4_bees_3","B10",12,"1067","sample","Bees","","Andrea","Hymenoptera","Apidae","Apinae","Meliponini","Trigona","Trigona","","","Madre de Dios","Los Amigos Biological field station","Peru","","20221125",NA,NA,NA,NA,NA,"","","25",250,23.85607989,"-12.55099 S","-70.09736 W","Madre de Dios","","Manu"," mature forest, closed canopy, big trees",NA,NA,NA,NA,NA,"","","","","","","Meliponini","","","",NA,"",8000,"Los Amigos Biological field station","netting","Apidae","Trigona","Trigona_amalthea","Trigona","Trigona","Trigona","A4_25_20221125_01067",FALSE,FALSE
"A4.25.20221125.01068_S134","16S_AW_Butterfly_Peru_bees","A4_25_20221125_01068","Bees",NA,"A4_bees_3","B11",12,"1068","sample","Bees","","Andrea","Hymenoptera","Apidae","Apinae","Meliponini","Trigona","Trigona","","","Madre de Dios","Los Amigos Biological field station","Peru","","20221125",NA,NA,NA,NA,NA,"","","25",250,23.85607989,"-12.55099 S","-70.09736 W","Madre de Dios","","Manu"," mature forest, closed canopy, big trees",NA,NA,NA,NA,NA,"","","","","","","Meliponini","","","",NA,"",8000,"Los Amigos Biological field station","netting","Apidae","Trigona","Trigona_williana","Trigona","Trigona","Trigona","A4_25_20221125_01068",FALSE,FALSE
